framework,learning_rate,dropout_rate,optimizer,batch_size,final_train_loss,final_train_acc,final_val_loss,final_val_acc,best_val_acc,best_val_loss
Manual Grid Search,0.0003,0.5,Adam,32,1.6543061548868816,0.422625,1.5855013942718506,0.44566666666666666,0.44566666666666666,1.5855013942718506
Manual Grid Search,0.0003,0.5,Adam,64,1.6339676456451415,0.43016666666666664,1.5536074075698854,0.459,0.459,1.5536074075698854
Manual Grid Search,0.0003,0.5,RMSprop,32,1.714411633014679,0.40175,1.6390355087916055,0.42716666666666664,0.42716666666666664,1.6390355087916055
Manual Grid Search,0.0003,0.5,RMSprop,64,1.7181607213020325,0.3988333333333333,1.667701994895935,0.4043333333333333,0.4093333333333333,1.667701994895935
Manual Grid Search,0.0003,0.5,SGD,32,2.3009735345840454,0.117,2.3002760454813638,0.14583333333333334,0.14583333333333334,2.3002760454813638
Manual Grid Search,0.0003,0.5,SGD,64,2.2996330207188924,0.11670833333333333,2.29856942431132,0.1235,0.1235,2.29856942431132
Manual Grid Search,0.0001,0.0,Adam,32,1.7166209535598755,0.40158333333333335,1.701171308040619,0.4061666666666667,0.4061666666666667,1.701171308040619
Manual Grid Search,0.0001,0.0,Adam,64,1.7765168491999308,0.383125,1.754338459968567,0.38433333333333336,0.38433333333333336,1.754338459968567
Manual Grid Search,0.0001,0.0,RMSprop,32,1.8142427765528362,0.3650833333333333,1.8138508447011312,0.36766666666666664,0.36766666666666664,1.8138508447011312
Manual Grid Search,0.0001,0.0,RMSprop,64,1.821371751944224,0.3611666666666667,1.834297758102417,0.3605,0.3605,1.834297758102417
Manual Grid Search,0.0001,0.0,SGD,32,2.3026343908309936,0.09995833333333333,2.302577931086222,0.1,0.1,2.302577931086222
Manual Grid Search,0.0001,0.0,SGD,64,2.301193638165792,0.12041666666666667,2.301007308959961,0.12516666666666668,0.12516666666666668,2.301007308959961
Manual Grid Search,0.0001,0.3,Adam,32,1.7549932277997335,0.3888333333333333,1.706783797899882,0.4071666666666667,0.4071666666666667,1.706783797899882
Manual Grid Search,0.0001,0.3,Adam,64,1.7889466277758281,0.37525,1.7557356061935425,0.38516666666666666,0.38516666666666666,1.7557356061935425
Manual Grid Search,0.0001,0.3,RMSprop,32,1.872232078075409,0.34791666666666665,1.839809203147888,0.3565,0.3565,1.839809203147888
Manual Grid Search,0.0001,0.3,RMSprop,64,1.8414971084594727,0.35454166666666664,1.811262736638387,0.37266666666666665,0.37266666666666665,1.811262736638387
Manual Grid Search,0.0001,0.3,SGD,32,2.302055205345154,0.10325,2.3019137318929035,0.11183333333333334,0.11183333333333334,2.3019137318929035
Manual Grid Search,0.0001,0.3,SGD,64,2.3025187047322593,0.10520833333333333,2.30247957611084,0.10533333333333333,0.10533333333333333,2.30247957611084
Manual Grid Search,0.0001,0.5,Adam,32,1.8341838242212931,0.35670833333333335,1.7870412661234538,0.37333333333333335,0.37333333333333335,1.7870412661234538
Manual Grid Search,0.0001,0.5,Adam,64,1.8576238927841187,0.3514583333333333,1.7971349623998005,0.372,0.372,1.7971349623998005
Manual Grid Search,0.0001,0.5,RMSprop,32,1.9000964794158937,0.335375,1.8326117699941,0.3616666666666667,0.3616666666666667,1.8326117699941
Manual Grid Search,0.0001,0.5,RMSprop,64,1.8599466222127279,0.3411666666666667,1.8137077420552572,0.36566666666666664,0.36566666666666664,1.8137077420552572
Manual Grid Search,0.0001,0.5,SGD,32,2.302239541053772,0.104625,2.3019171307881674,0.10016666666666667,0.10033333333333333,2.3019171307881674
Manual Grid Search,0.0001,0.5,SGD,64,2.302806924502055,0.10254166666666667,2.302711940129598,0.09816666666666667,0.1015,2.302711940129598
Optuna,0.007441304208941368,0.3288420727841988,SGD,32,1.6827861839930216,0.410125,1.5730403474171957,0.4483333333333333,0.4483333333333333,1.5730403474171957
Optuna,0.0003457316611222872,0.23924103741429587,RMSprop,32,1.5568522189458212,0.45758333333333334,1.5041919183731078,0.47633333333333333,0.47633333333333333,1.5041919183731078
Optuna,0.0020799919457912047,0.4013895994277781,RMSprop,64,1.4323482420444489,0.5065,1.4095940594673158,0.5055,0.5055,1.4095940594673158
Optuna,0.000102994883415612,0.4950591225441337,RMSprop,32,1.8324389449755352,0.3592916666666667,1.770586127281189,0.38566666666666666,0.38566666666666666,1.770586127281189
Optuna,0.0022145876825814866,0.07791913954682728,SGD,32,2.057024779319763,0.2555,2.004497886657715,0.27616666666666667,0.27616666666666667,2.004497886657715
Optuna,0.00037384071846689385,0.021446140260696966,SGD,64,2.2991493768692015,0.14283333333333334,2.298198603947957,0.15533333333333332,0.15533333333333332,2.298198603947957
Optuna,0.0071563415606728424,0.37890230068213065,SGD,64,1.7305893877347311,0.390375,1.664059889793396,0.4261666666666667,0.4261666666666667,1.664059889793396
Optuna,0.0022691273370462795,0.09850680465741918,RMSprop,32,1.42074737962087,0.5089166666666667,1.4090250390370687,0.5083333333333333,0.5083333333333333,1.4090250390370687
Optuna,0.0024701931124852636,0.3916973823286122,RMSprop,32,1.4331346758206684,0.5028333333333334,1.3568108026186625,0.5396666666666666,0.5396666666666666,1.3568108026186625
